No.,IPV,Time,Source,Destination,Source Port,Destination Port,Length,Protocol,Human
220,6,6.05282,3232281142,3232281089,49764,53,54,TCP,0
221,4,6.053046,3232281142,3232281089,49765,53,54,TCP,0
222,6,6.053401,3232281142,1746043628,49768,443,66,TCP,0
225,6,6.053691,3232281142,3232281089,49769,53,66,TCP,0
226,4,6.053815,3232281142,3232281089,49770,53,66,TCP,0
230,6,6.054447,3232281089,3232281142,53,49764,54,TCP,0
232,6,6.055043,3232281142,3232281089,49764,53,54,TCP,0
235,6,6.055819,3232281089,3232281142,53,49769,66,TCP,0
238,6,6.055933,3232281142,3232281089,49769,53,54,TCP,0
239,6,6.056397,3232281142,3232281089,49769,53,56,TCP,0
240,6,6.056409,3232281142,3232281089,49769,53,92,DNS,0
241,4,6.056812,3232281089,3232281142,53,49765,54,TCP,0
242,6,6.056812,3232281089,3232281142,53,49770,66,TCP,0
245,6,6.056979,3232281142,3232281089,49770,53,54,TCP,0
246,4,6.057129,3232281142,3232281089,49765,53,54,TCP,0
247,4,6.057534,3232281142,3232281089,49770,53,56,TCP,0
248,4,6.057553,3232281142,3232281089,49770,53,92,DNS,0
249,6,6.058016,3232281089,3232281142,53,49769,54,TCP,0
250,4,6.058016,3232281089,3232281142,53,49769,54,TCP,0
251,4,6.059089,3232281089,3232281142,53,49770,54,TCP,0
252,6,6.059089,3232281089,3232281142,53,49770,54,TCP,0
255,6,6.062365,3232281089,3232281142,53,49762,155,DNS,0
256,4,6.062365,3232281089,3232281142,53,49763,197,DNS,0
257,4,6.062365,3232281089,3232281142,53,49760,155,DNS,0
258,4,6.062654,3232281142,3232281089,49763,53,54,TCP,0
259,4,6.062741,3232281142,3232281089,49762,53,54,TCP,0
260,4,6.062777,3232281142,3232281089,49760,53,54,TCP,0
261,4,6.063079,3232281142,3232281089,49771,53,66,TCP,0
262,6,6.063224,3232281142,3232281089,49772,53,66,TCP,0
263,4,6.064809,3232281089,3232281142,53,49761,200,DNS,0
264,6,6.064809,1746043628,3232281142,443,49768,66,TCP,0
266,6,6.064809,3232281089,3232281142,53,49771,66,TCP,0
267,6,6.064809,3232281089,3232281142,53,49772,66,TCP,0
268,4,6.065172,3232281142,1746043628,49768,443,54,TCP,0
269,4,6.06521,3232281142,3232281089,49771,53,54,TCP,0
270,6,6.065218,3232281142,3232281089,49772,53,54,TCP,0
271,4,6.065806,3232281142,3353877079,49773,443,66,TCP,0
272,4,6.065942,3232281089,3232281142,53,49763,54,TCP,0
274,4,6.065942,3232281089,3232281142,53,49760,54,TCP,0
275,6,6.065942,3232281089,3232281142,53,49762,54,TCP,0
276,6,6.066184,3232281142,3232281089,49771,53,56,TCP,0
277,4,6.066202,3232281142,3232281089,49763,53,54,TCP,0
