ipv,deltatime,src,dst,srcport,dstport,length,proto,human
4,0.000064,3232281142,3512060521,49338,443,93,6,1
4,0.000000,3512060521,3232281142,443,49338,54,6,0
4,0.000000,3512060521,3232281142,443,49338,54,6,0
4,0.000000,3512060521,3232281142,443,49338,93,6,1
4,0.007683,3232281142,3512060521,49338,443,1466,6,1
4,0.000000,3232281142,3512060521,49338,443,147,6,1
4,0.007455,3512060521,3232281142,443,49338,54,6,0
4,0.017601,3232281142,3512060521,49338,443,1453,6,0
4,0.020167,3512060521,3232281142,443,49338,343,6,1
4,0.000000,3512060521,3232281142,443,49338,108,6,1
4,0.009462,3232281142,3512060521,49338,443,54,6,0
4,0.001269,3512060521,3232281142,443,49338,85,6,1
4,0.000000,3512060521,3232281142,443,49338,93,6,1
4,0.001187,3232281142,3512060521,49338,443,54,6,0
4,0.000648,3232281142,3512060521,49338,443,93,6,1
4,0.000873,3232281142,3512060521,49338,443,89,6,1
4,0.007470,3512060521,3232281142,443,49338,54,6,0
4,0.017042,3512060521,3232281142,443,49338,314,6,1
4,0.000000,3512060521,3232281142,443,49338,118,6,1
4,0.000000,3512060521,3232281142,443,49338,85,6,1
4,0.000000,3512060521,3232281142,443,49338,93,6,1
4,0.023134,3232281142,3512060521,49338,443,54,6,0
4,0.001558,3232281142,3512060521,49338,443,93,6,1
4,0.004647,3512060521,3232281142,443,49338,438,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,85,6,1
4,0.000000,3512060521,3232281142,443,49338,217,6,1
4,0.002965,3232281142,3512060521,49338,443,54,6,0
4,0.002360,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1179,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1179,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,1466,6,1
4,0.000000,3512060521,3232281142,443,49338,638,6,1
4,0.000000,3512060521,3232281142,443,49338,85,6,1
4,0.002592,3232281142,3512060521,49338,443,54,6,0
4,0.005105,3512060521,3232281142,443,49338,54,6,0
4,0.000000,60984449,3232281142,443,49604,78,6,1
4,0.000000,60984449,3232281142,443,49604,54,6,0
4,0.000000,3232281142,60984449,49604,443,54,6,0
4,0.000000,34740242,3232281142,80,50590,54,6,0
4,0.000000,34740242,3232281142,80,50593,54,6,0
4,0.000000,34740242,3232281142,80,50591,54,6,0
4,0.000000,3232281142,34740242,50590,80,54,6,0
4,0.000000,3232281142,34740242,50593,80,54,6,0
4,0.000000,3232281142,34740242,50591,80,54,6,0
4,0.000000,34740242,3232281142,80,50592,54,6,0
4,0.000000,3232281142,34740242,50592,80,54,6,0
4,0.000000,2817227836,3232281142,443,49644,78,6,1
4,0.000000,2817227836,3232281142,443,49644,54,6,0
4,0.000000,3232281142,2817227836,49644,443,54,6,0
4,0.000000,2817227836,3232281142,443,49649,78,6,1
4,0.000000,2817227836,3232281142,443,49649,54,6,0
4,0.000000,3232281142,2817227836,49649,443,54,6,0
4,0.000000,2817227836,3232281142,443,49650,78,6,1
4,0.000000,2817227836,3232281142,443,49650,54,6,0
4,0.000000,3232281142,2817227836,49650,443,54,6,0
4,0.000000,388301171,3232281142,443,50605,85,6,0
4,0.000000,388301171,3232281142,443,50605,54,6,0
4,0.000000,3232281142,388301171,50605,443,54,6,0
4,0.000038,3232281142,388301171,50605,443,54,6,0
4,0.000000,399010191,3232281142,443,50604,85,6,0
4,0.000000,399010191,3232281142,443,50604,54,6,0
4,0.000000,3232281142,399010191,50604,443,54,6,0
4,0.000101,3232281142,399010191,50604,443,54,6,0
4,0.000000,3232281112,4026531834,35247,15600,77,17,0
4,0.000000,389063955,3232281142,443,50617,85,6,0
4,0.000000,389063955,3232281142,443,50617,54,6,0
4,0.000000,3232281142,389063955,50617,443,54,6,0
4,0.000107,3232281142,389063955,50617,443,54,6,0
4,0.000000,3232281142,3512060511,49342,443,118,6,1
4,0.000079,3232281142,3512060511,49342,443,93,6,1
4,0.000021,3232281142,3512060511,49342,443,165,6,1
4,0.000000,3232281142,3232281089,49760,53,66,6,0
4,0.000000,3232281142,3232281089,49761,53,66,6,0
4,0.000000,3232281142,3232281089,49762,53,66,6,0
4,0.000000,3232281142,3232281089,49763,53,66,6,0
4,0.000000,3232281142,3232281089,49764,53,66,6,0
4,0.000000,3232281142,3232281089,49765,53,66,6,0
