number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
7195,443,53588,6,1490,601.60648213,0.00000095,1287.61774744,203.07534247,0.00000095,1
7196,443,53588,6,1490,601.52280946,0.00000095,1288.30612245,202.38225256,0.00000095,1
7197,443,53588,6,1490,601.43916006,0.00000095,1288.98983051,201.69387755,0.00000095,1
7198,443,53588,6,650,238.64446607,0.00000000,1286.83108108,638.98983051,0.00000000,1
7199,443,53588,6,647,241.61128875,0.00000119,1284.67676768,639.83108108,0.00000119,1
7200,53588,443,6,66,822.57770364,0.00039887,158.78400000,93.53225806,0.00139904,0
7201,443,53588,6,1490,601.53662265,0.00170398,1285.36577181,205.32323232,0.00210285,1
7202,443,53588,6,1490,601.45302946,0.00000095,1286.05016722,204.63422819,0.00000095,1
7203,443,53588,6,1161,272.36945950,0.00000000,1285.63333333,125.05016722,0.00000000,1
7204,53588,443,6,66,822.66838011,0.00006819,158.04761905,92.78400000,0.00177312,0
7205,443,53591,6,139,749.55410474,0.03204989,508.50000000,410.55555556,2.35036898,1
7206,53591,443,6,66,822.45000000,0.00013399,229.93750000,174.86666667,0.08346701,0
7207,53588,443,6,1045,156.66421330,0.07353616,165.03149606,886.95238095,0.10572004,1
7208,53588,443,6,101,787.35753957,0.00015092,164.53125000,64.03149606,0.00015092,1
7209,56436,53,17,83,805.24822990,0.00104499,83,0,0,0
7210,443,53588,6,66,822.13645197,0.00613689,1281.58139535,1219.63333333,0.11312103,0
7211,443,53588,6,1490,601.97765441,0.00088906,1282.27152318,208.41860465,0.00088906,1
7212,443,53588,6,1490,601.89411601,0.00014091,1282.95709571,207.72847682,0.00014091,1
7213,443,53588,6,1171,282.81060080,0.00000119,1282.58881579,111.95709571,0.00000119,1
7214,53588,443,6,66,822.22863485,0.00007987,163.76744186,98.53125000,0.00829291,0
7215,53,56436,17,370,518.11457900,0.00286698,370,0,0,0
7216,53332,443,6,1466,577.95728155,0.26221514,519.70270270,972.58333333,9.47346997,0
7217,53332,443,6,1353,464.87713216,0.00003004,541.63157895,833.29729730,0.00003004,1
7218,53332,443,6,129,759.18732668,0.00002289,531.05128205,412.63157895,0.00002289,1
7219,443,53332,6,66,822.08207403,0.00682092,148.48936170,84.28260870,9.47441983,0
7220,443,53332,6,66,821.96811755,0.00000215,146.77083333,82.48936170,0.00000215,0
7221,443,53332,6,66,821.85419265,0.00000000,145.12244898,80.77083333,0.00000000,0
7222,443,53332,6,1033,145.25970067,0.11532593,162.88000000,887.87755102,0.11532593,1
7223,443,53332,6,347,540.76042677,0.00007105,166.49019608,184.12000000,0.00007105,1
7224,53332,443,6,66,821.68550845,0.00023007,519.42500000,465.05128205,0.12245011,0
7225,53332,443,6,66,821.57168583,0.00010586,508.36585366,453.42500000,0.00010586,0
7226,443,53332,6,176,711.45789474,0.00052714,166.67307692,9.50980392,0.00086308,1
7227,443,53332,6,204,683.35936851,0.00000095,167.37735849,37.32692308,0.00000095,1
7228,53332,443,6,66,821.26474661,0.00005698,497.83333333,442.36585366,0.00058508,0
7229,443,53332,6,105,782.15104527,0.00043201,166.22222222,62.37735849,0.00048900,1
7230,53332,443,6,66,821.04277409,0.00006485,487.79069767,431.83333333,0.00049686,0
7231,53332,443,6,105,781.92913495,0.00009298,479.09090909,382.79069767,0.00009298,1
7232,443,53332,6,66,820.82092444,0.00519514,164.40000000,100.22222222,0.00535297,0
7233,53333,443,6,169,717.70734745,0.06494784,126.00000000,57.33333333,24.97545099,1
7234,443,53333,6,66,820.60805202,0.00510812,100.42857143,40.16666667,24.97064805,0
7235,443,53333,6,140,746.49453590,0.00164199,105.37500000,39.57142857,0.00164199,1
7236,443,53333,6,140,746.39128631,0.00000191,109.22222222,34.62500000,0.00000191,1
7237,443,53333,6,97,789.28806527,0.00000119,108.00000000,12.22222222,0.00000119,1
7238,53333,443,6,66,820.17892699,0.00012898,114.00000000,60.00000000,0.00688219,0
7239,443,53333,6,105,781.06553297,0.00013900,107.72727273,3.00000000,0.00026798,1
7240,53333,443,6,66,819.95756152,0.00005794,106.00000000,48.00000000,0.00019693,0
7241,53333,443,6,105,780.84422944,0.00004196,105.85714286,1.00000000,0.00004196,1
7242,443,53333,6,66,819.73631841,0.01003194,104.25000000,41.72727273,0.01013184,0
7243,59065,53,17,73,812.62304822,0.30951118,73,0,0,0
7244,53,59065,17,105,780.51077646,0.02282190,105,0,0,0
7245,53592,443,6,78,807.40295621,0.00246906,78,0,0,0
7246,443,53592,6,74,811.29143646,0.01525497,74,0,0,0
7247,53592,443,6,66,819.17939511,0.00013399,72.00000000,12.00000000,0.01538897,0
7248,53592,443,6,727,158.06628003,0.00044894,290.33333333,655.00000000,0.00044894,0
7249,443,53592,6,66,819.04445672,0.01537514,70.00000000,8.00000000,0.01595807,0
