number,source_port,destination_port,protocol,length,length_deviation,delta_time,flow_average_length,flow_length_deviation,flow_delta_time,human
4390,443,51595,6,1506,701.15686275,0.00000000,1463.88828338,42.16916780,0.00000000,0
4391,443,51595,6,420,385.00676779,0.00000000,1462.46802721,1043.88828338,0.00000000,0
4392,443,51595,6,1506,701.08306113,0.00000000,1462.52717391,43.53197279,0.00000000,0
4393,443,51595,6,1506,700.91952414,0.00000000,1462.58616011,43.47282609,0.00000000,0
4394,443,51595,6,1506,700.75606343,0.00000000,1462.64498645,43.41383989,0.00000000,0
4395,443,51595,6,1506,700.59267895,0.00000000,1462.70365359,43.35501355,0.00000000,0
4396,443,51595,6,1506,700.42937063,0.00000000,1462.76216216,43.29634641,0.00000000,0
4397,443,51595,6,1506,700.26613843,0.00000000,1462.82051282,43.23783784,0.00000000,0
4398,443,51595,6,1506,700.10298229,0.00000000,1462.87870620,43.17948718,0.00000000,0
4399,443,51595,6,1506,699.93990217,0.00000000,1462.93674293,43.12129380,0.00000000,0
4400,443,51595,6,1506,699.77689800,0.00000000,1462.99462366,43.06325707,0.00000000,0
4401,443,51595,6,1506,699.61396973,0.00000000,1463.05234899,43.00537634,0.00000000,0
4402,443,51595,6,1506,699.45111732,0.00000000,1463.10991957,42.94765101,0.00000000,0
4403,443,51595,6,1506,699.28834070,0.00000000,1463.16733601,42.89008043,0.00000000,1
4404,443,51595,6,1506,699.12563983,0.00000000,1463.22459893,42.83266399,0.00000000,0
4405,443,51595,6,1506,698.96301465,0.00000000,1463.28170895,42.77540107,0.00000000,0
4406,443,51595,6,1506,698.80046512,0.00000000,1463.33866667,42.71829105,0.00000000,0
4407,443,51595,6,1506,698.63799116,0.00000000,1463.39547270,42.66133333,0.00000000,0
4408,443,51595,6,1506,698.47559275,0.00000000,1463.45212766,42.60452730,0.00000000,0
4409,443,51595,6,1506,698.31326981,0.00000000,1463.50863214,42.54787234,0.00000000,0
4410,443,51595,6,1506,698.15102230,0.00000000,1463.56498674,42.49136786,0.00000000,0
4411,443,51595,6,1506,697.98885017,0.00000000,1463.62119205,42.43501326,0.00000000,0
4412,443,51595,6,1506,697.82675337,0.00000000,1463.67724868,42.37880795,0.00000000,0
4413,443,51595,6,1506,697.66473183,0.00000000,1463.73315720,42.32275132,0.00000000,0
4414,443,51595,6,1506,697.50278552,0.00000000,1463.78891821,42.26684280,0.00000000,0
4415,443,51595,6,1506,697.34091437,0.00000000,1463.84453228,42.21108179,0.00000000,0
4416,443,51595,6,1506,697.17911833,0.00000000,1463.90000000,42.15546772,0.00000000,0
4417,443,51595,6,1506,697.01739736,0.00000000,1463.95532194,42.10000000,0.00000000,0
4418,51595,443,6,54,755.14424861,0.00021696,276.48780488,228.05000000,0.00131989,0
4419,443,51595,6,1506,697.03083700,0.00004005,1464.01049869,42.04467806,0.00025702,0
4420,443,51595,6,1506,696.86926287,0.00000000,1464.06553080,41.98950131,0.00000000,0
4421,443,51595,6,1506,696.70776362,0.00000000,1464.12041885,41.93446920,0.00000000,0
4422,443,51595,6,1506,696.54633920,0.00000000,1464.17516340,41.87958115,0.00000000,0
4423,443,51595,6,1506,696.38498958,0.00000000,1464.22976501,41.82483660,0.00000000,0
4424,443,51595,6,1506,696.22371468,0.00000000,1464.28422425,41.77023499,0.00000000,0
4425,443,51595,6,1506,696.06251447,0.00000000,1464.33854167,41.71577575,0.00000000,0
4426,443,51595,6,1506,695.90138889,0.00000000,1464.39271782,41.66145833,0.00000000,1
4427,443,51595,6,1506,695.74033788,0.00000000,1464.44675325,41.60728218,0.00000000,0
4428,443,51595,6,1506,695.57936141,0.00000000,1464.50064851,41.55324675,0.00000000,0
4429,443,51595,6,1506,695.41845940,0.00000000,1464.55440415,41.49935149,0.00000000,0
4430,443,51595,6,1506,695.25763182,0.00000000,1464.60802070,41.44559585,0.00000000,0
4431,443,51595,6,1506,695.09687861,0.00000000,1464.66149871,41.39197930,0.00000000,0
4432,443,51595,6,1506,694.93619972,0.00000000,1464.71483871,41.33850129,0.00000000,0
4433,443,51595,6,1506,694.77559510,0.00000000,1464.76804124,41.28516129,0.00000000,0
4434,443,51595,6,1506,694.61506470,0.00000000,1464.82110682,41.23195876,0.00000000,0
4435,443,51595,6,1506,694.45460845,0.00000000,1464.87403599,41.17889318,0.00000000,0
4436,443,51595,6,1506,694.29422633,0.00000000,1464.92682927,41.12596401,0.00000000,0
4437,443,51595,6,1506,694.13391826,0.00000000,1464.97948718,41.07317073,0.00000000,0
4438,443,51595,6,1506,693.97368421,0.00000000,1465.03201024,41.02051282,0.00000000,0
4439,443,51595,6,1506,693.81352412,0.00000000,1465.08439898,40.96798976,0.00000000,0
4440,443,51595,6,1506,693.65343793,0.00000000,1465.13665390,40.91560102,0.00000000,0
4441,443,51595,6,1506,693.49342561,0.00000000,1465.18877551,40.86334610,0.00000000,0
4442,443,51595,6,1506,693.33348708,0.00000000,1465.24076433,40.81122449,0.00000000,0
4443,443,51595,6,1506,693.17362232,0.00000000,1465.29262087,40.75923567,0.00000000,0
